,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
2919,SARAYLI 1,Gulet Yachts,12.0,5.0,5.0,35.0,2012,Custom,3071,4571,"Mediterranean, Turkey",,3071,4571,"Mediterranean, Turkey",,"The 35m/114'10"" gulet yacht 'Sarayli 1' by shipyard Custom offers flexible accommodation for up to 12 guests in 5 cabins."
2920,SASTA,Catamarans,8.0,5.0,4.0,23.8,2022,Seventy 8,9786,10929,,"Corsica, Sardinia",9786,10929,,"Ibiza, The Balearics","The 23.8m/78'1"" catamaran yacht 'Sasta' by the French shipyard Lagoon offers flexible accommodation for up to 8 guests in 5 cabins and features interior styling by Italian designer Nauta Design."
2921,SATISFACTION,Motor Yachts,8.0,4.0,3.0,25.69,2017,Azimut 84,0,0,"Caribbean, Bahamas","Florida, New England",0,0,"Caribbean, Bahamas",Florida,"The 25.69m/84'3"" motor yacht 'Satisfaction' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Salvagni Architetti."
2922,SATORI,Motor Yachts,12.0,5.0,5.0,32.95,2022,Custom,9429,10571,"Mediterranean, Greece",Mykonos,9429,9429,"Mediterranean, Greece",Mykonos,"The 32.8m/107'7"" motor yacht 'Satori' by shipyard Cantieri Navali Santa Margherita offers flexible accommodation for up to 12 guests in 5 cabins."
2923,SATORI,Sailing Yachts,10.0,5.0,7.0,41.5,2017,Custom,16286,16286,"Mediterranean, Croatia, Greece, Montenegro","Cannes, French Riviera, Mykonos, Santorini, St Tropez",16286,16286,"Mediterranean, Croatia, Greece, Montenegro","Cannes, French Riviera, Mykonos, Santorini, St Tropez","The 41.5m/136'2"" 'Satori' sail yacht built by shipyard Big Blue Yachts is available for charter for up to 10 guests in 5 cabins."
2924,SAVARONA,Sailing Yachts,6.0,3.0,4.0,28.6,2015,Custom,0,0,"Caribbean, Antigua, Saint Martin, St Barts, Central America, Belize, Costa Rica",Virgin Islands,0,0,"Caribbean, Antigua, Saint Martin, St Barts, Central America, Belize, Costa Rica",Virgin Islands,"The 28.45m/93'4"" sail yacht 'Savarona' by shipyard CNB offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by French designer Franck Darnet Design."
2925,SCAR,Motor Yachts,6.0,3.0,2.0,21.35,2023,Manhattan 60,4929,4929,,,4929,4929,,,"The 19.6m/64'4"" 'Scar' motor yacht built by the British shipyard Sunseeker is available for charter for up to 6 guests in 3 cabins."
2926,SCARENA,Sailing Yachts,8.0,4.0,4.0,29.77,2024,Jongert 2900M,7071,7500,"Mediterranean, Croatia, France, Monaco, Montenegro, Turkey","Calvi, Corsica, French Riviera",0,0,,,"The 29.8m/97'9"" sail yacht 'Scarena' by shipyard Jongert offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Peter Sijm."
2927,SCARLET,Motor Yachts,7.0,3.0,5.0,31.39,2020,Azimut 103S,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 30.91m/101'5"" motor yacht 'Scarlet' by the Italian shipyard Azimut offers flexible accommodation for up to 7 guests in 3 cabins and features interior styling by Italian designer Carlo Galeazzi."
2928,SCHATZI,Motor Yachts,8.0,4.0,3.0,24.36,2019,Squadron 78,4714,5214,"Mediterranean, Croatia, Montenegro",,4714,5214,"Mediterranean, Croatia, Montenegro",,"The 24.37m/79'11"" motor yacht 'Schatzi' by the British shipyard Fairline offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Fairline."
2929,SCINTILLA MARIS,Expedition Yachts,10.0,5.0,8.0,45.59,2023,Conversion,0,0,"Northern Europe, Norway",,0,0,"Caribbean, Antigua, Saint Martin, St Barts, Central America, Costa Rica",,"The 45.6m/149'7"" expedition yacht 'Scintilla Maris' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Maaskant  and featuring interior styling by Dutch designer Vripack she can comfortably accommodate up to 10 guests in 5 cabins. She originally served as a Fishing Trawler before being converted into a yacht by Damen Maaskant in 2023."
2930,SCORE ONE,Motor Yachts,8.0,4.0,2.0,24.66,2018,Princess S78,7786,7786,,,7000,7000,,,"The 24.66m/80'11"" 'SCORE ONE' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Princess."
2931,SCORPIO,Open Yachts,6.0,3.0,3.0,27.2,2022,Velvet 27,6357,7357,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",6357,6357,"Mediterranean, France, Italy, Monaco","French Riviera, Sardinia","The 27.4m/89'11"" open yacht 'Scorpio' by the Italian shipyard Tecnomar offers flexible accommodation for up to 6 guests in 3 cabins and features interior styling by Italian designer LUCA DINI Design & Architecture."
2932,SCORPION,Motor Yachts,12.0,5.0,10.0,46.0,2015,46Steel,37143,37143,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",37143,37143,,,"The 46m/150'11"" motor yacht 'Scorpion' by the Italian shipyard Sanlorenzo offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Owner."
2933,SCORPIOS,Sailing Yachts,12.0,6.0,10.0,52.0,2023,Custom,18714,22000,"Mediterranean, Croatia, Montenegro",,18714,18714,"Mediterranean, Croatia, Montenegro",,"The 52.3m/171'7"" sail yacht 'Scorpios' is an excellent new superyacht for the luxury charter market. Delivered by shipyard Tramontana  she can comfortably accommodate up to 12 guests in 6 cabins."
2934,SCOTT FREE,Motor Yachts,8.0,4.0,4.0,34.75,2008,President 107,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 32.6m/106'11"" 'Scott Free' motor yacht built by shipyard President is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by President."
2935,SCOTT FREE,Motor Yachts,12.0,6.0,16.0,59.99,2022,Custom,0,0,"South Pacific, Fiji, French Polynesia",,0,0,"Indian Ocean, Maldives, South East Asia, Thailand",,The classically beautiful 60m (197ft) motor yacht ELYSIAN was built in 2009 by the renowned shipyard Abeking & Rasmussen. Her uber-chic interior is designed by Bannenberg & Rowell and her exterior styling is helmed by Donald Starkey.
2936,SCRATCH,Motor Yachts,9.0,4.0,4.0,28.3,2004,Mangusta 92,0,0,,"Florida, Miami",0,0,,"Florida, Miami","The 28.27m/92'9"" 'Scratch' open yacht built by the Italian shipyard Mangusta is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Italian designer Mangusta."
2937,SCRATCH,Open Yachts,9.0,4.0,4.0,28.3,2004,Mangusta 92,0,0,,"Florida, Miami",0,0,,"Florida, Miami","The 28.27m/92'9"" open yacht 'Scratch' by the Italian shipyard Mangusta offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Mangusta."
2938,SCUBASPA,Motor Yachts,40.0,19.0,30.0,50.0,2014,Custom,0,0,"Indian Ocean, Maldives",,0,0,"Indian Ocean, Maldives",,"The 50m/164'1"" 'Scubaspa' motor yacht built by shipyard Custom is available for charter for up to 40 guests in 19 cabins."
2939,SEA ANGEL,Motor Yachts,10.0,5.0,5.0,28.7,2010,Custom,5500,6857,"Mediterranean, Turkey",,5500,6857,"Mediterranean, Turkey",,"The 28.7m/94'2"" 'Sea Angel' motor yacht built by shipyard Tulza is available for charter for up to 10 guests in 5 cabins."
2940,SEA AXIS,Motor Yachts,12.0,5.0,7.0,38.1,2025,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Saint Martin, St Barts",,The 38.1m/125' 'Sea Axis' motor yacht built by the Dutch shipyard Heesen is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Art Line.
2941,SEA BEAR,Motor Yachts,10.0,5.0,7.0,39.62,2005,Westport 130,0,0,,,0,0,,,The 39.62m/130' motor yacht 'Sea Bear' by the American shipyard Westport Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Pacific Custom Interiors.
2942,SEA BLUEZ,Motor Yachts,10.0,5.0,8.0,36.58,2020,Classic 120',17429,18214,"Mediterranean, France, Greece, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",17429,18214,,,The 36.58m/120' 'Sea Bluez' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by French designer Zuretti.
2943,SEA BREEZE,Gulet Yachts,12.0,6.0,4.0,28.0,2018,Custom,3500,4000,"Mediterranean, Croatia, Montenegro",,3429,3857,"Mediterranean, Croatia, Montenegro",,"The 28m/91'10"" gulet yacht 'Sea Breeze' by shipyard Custom offers flexible accommodation for up to 12 guests in 6 cabins."
2944,SEA BREEZE III,Classic Yachts,6.0,3.0,4.0,32.0,2021,Custom,0,0,"South Pacific, New Zealand",,0,0,"South Pacific, New Zealand",,"The 30.5m/100'1"" classic yacht 'Sea Breeze III' by shipyard Millkraft offers flexible accommodation for up to 6 guests in 3 cabins."
2945,SEA BREEZE ONE,Motor Yachts,8.0,4.0,4.0,31.0,2025,Custom,8357,9857,"Mediterranean, France, Italy, Monaco","French Riviera, Sardinia",8357,9857,"Mediterranean, France, Italy, Monaco","French Riviera, Sardinia","The 31m/101'8"" 'Sea Breeze One' motor yacht built by shipyard KaiserWerft is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by KaiserWerft."
2946,SEA CLASS,Motor Yachts,12.0,6.0,6.0,42.4,2023,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 42.4m/139'1"" motor yacht 'Sea Class' by the German shipyard Abeking & Rasmussen offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Orsini Design Associates."
2947,SEA CLASS,Motor Yachts,12.0,6.0,10.0,47.24,2024,Christensen 155,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,The 47.24m/155' 'Sea Class' motor yacht built by shipyard Christensen is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Glade Johnson Design.
2948,SEA CORAL II,Motor Yachts,10.0,5.0,6.0,31.0,2023,A105,13857,15500,"Mediterranean, France, Italy, Monaco","Corsica, French Riviera, Sardinia",13857,13857,,,"The 31.57m/103'7"" 'Sea Coral II' motor yacht built by the Italian shipyard Arcadia is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Hot Lab."
2949,SEA DIAMOND,Motor Yachts,7.0,3.0,3.0,31.7,2013,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,The 31.7m/104' 'Sea Diamond' (ex. P. G.'s Jester) motor yacht built by shipyard Broward is available for charter for up to 7 guests in 3 cabins.
2950,SEA DIAMOND,Open Yachts,8.0,4.0,4.0,32.0,2014,Mangusta 105,6500,7357,,,6500,7357,,,The 32m/105' 'Sea Diamond' open yacht built by the Italian shipyard Mangusta is available for charter for up to 8 guests in 4 cabins.
2951,SEA DREAM,Gulet Yachts,12.0,6.0,7.0,45.0,2015,Custom,7357,9214,,,0,0,,,"The 39m/127'11"" gulet yacht 'Sea Dream' by shipyard Aegean Yacht offers flexible accommodation for up to 12 guests in 6 cabins."
2952,SEA EAGLE,Sailing Yachts,10.0,5.0,15.0,81.0,2022,Custom,91429,108071,"Central America, Mexico, South Pacific, Australia, Fiji, French Polynesia, New Caledonia, New Zealand, Papua New Guinea","Sydney, Whitsundays",91429,108071,"South Pacific, Australia, Fiji, French Polynesia, New Caledonia, New Zealand, Papua New Guinea","Sydney, Whitsundays","The 81m/265'9"" 'Sea Eagle' sail yacht built by the Dutch shipyard Royal Huisman is available for charter for up to 10 guests in 5 cabins. This multi-award winning  yacht  features interior styling by Mark Whiteley Design."
2953,SEA HAWK,Motor Yachts,8.0,4.0,4.0,26.25,2012,Azimut 85 Ultimate,0,0,,,0,0,,,"The 26.25m/86'1"" 'Sea Hawk' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Carlo Galeazzi."
2954,SEA HEART,Motor Yachts,6.0,3.0,3.0,20.0,2015,Custom,2143,2429,"Mediterranean, Greece","Mykonos, Santorini",0,0,,,"The 20m/65'7"" motor yacht 'Sea Heart' by shipyard Cantieri di Pisa offers flexible accommodation for up to 6 guests in 3 cabins."
2955,SEA JAGUAR,Motor Yachts,10.0,5.0,5.0,31.0,2015,Maiora 31DP,0,0,,,0,0,,,"The 31m/101'8"" 'Sea Jaguar' motor yacht built by the Italian shipyard Maiora is available for charter for up to 10 guests in 5 cabins."
2956,SEA LADY,Motor Yachts,9.0,4.0,3.0,26.39,2019,DP 80 HT,3786,4286,"Mediterranean, Croatia, Montenegro",,3786,3786,"Mediterranean, Croatia, Montenegro",,"The 26.4m/86'7"" 'Sea Lady' motor yacht built by shipyard Dalla Pietà is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Dalla Pietà."
2957,SEA LION,Motor Yachts,10.0,5.0,5.0,38.0,2022,Custom,10571,11429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",10571,11429,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",The 38.1m/125' motor yacht 'Sea Lion' by shipyard Haak offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Claudia Rijntjes.
2958,SEA N SEA,Motor Yachts,8.0,4.0,4.0,30.53,2016,100 Skylounge,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 30.53m/100'2"" 'Sea N Sea' motor yacht built by the American shipyard Ocean Alexander is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Evan K Marshall."
2959,SEA OWL,Motor Yachts,8.0,5.0,4.0,26.77,2022,Grande 27M,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,"The 26.78m/87'10"" motor yacht 'Sea Owl' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 5 cabins and features interior styling by Italian designer Achille Salvagni Architetti."
2960,SEA OWL,Motor Yachts,12.0,7.0,18.0,62.0,2013,Custom,71643,78143,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",,"The 62m/203'5"" 'Sea Owl' motor yacht built by the Dutch shipyard Feadship is available for charter for up to 12 guests in 7 cabins. This award winning  yacht  features interior styling by British designer Winch Design."
2961,SEA RAES,Motor Yachts,8.0,4.0,5.0,30.0,2024,Custom,10214,0,"South Pacific, Australia, French Polynesia","Sydney, Whitsundays",10214,0,"South Pacific, Australia, French Polynesia","Sydney, Whitsundays","The 29m/95'2"" 'Sea Raes' motor yacht built by shipyard Farocean Marine is available for charter for up to 8 guests in 4 cabins."
2962,SEA STAR,Motor Yachts,16.0,8.0,11.0,41.7,2019,Custom,0,0,South America,,0,0,South America,,"The 41.7m/136'10"" motor yacht 'Sea Star' by shipyard Custom offers flexible accommodation for up to 16 guests in 8 cabins."
2963,SEA STORY,Motor Yachts,9.0,4.0,3.0,23.6,2019,Custom,7000,9214,,"Ibiza, The Balearics",7000,7000,,"Ibiza, The Balearics","The 23.6m/77'5"" 'Sea Story' motor yacht built by the Dutch shipyard Vanquish Yachts is available for charter for up to 9 guests in 4 cabins."
2964,SEA WATER II,Motor Yachts,8.0,4.0,3.0,26.29,2020,86 Yacht,9357,11000,,"Ibiza, The Balearics",9357,11000,,"Ibiza, The Balearics","The 26.3m/86'3"" motor yacht 'Sea Water II' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Sunseeker."
2965,SEA WOLF,Motor Yachts,12.0,6.0,8.0,41.76,2024,Custom,20071,23786,"Mediterranean, Croatia, France, Greece, Italy, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",20071,20071,"Mediterranean, Croatia, France, Greece, Italy, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia","The 41.56m/136'4"" motor yacht 'Sea Wolf' by the Italian shipyard Mondo Marine offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer LUCA DINI Design & Architecture."
2966,SEA YA,Motor Yachts,8.0,4.0,3.0,20.8,2024,Azimut 66,5000,5500,"Mediterranean, Greece","Mykonos, Santorini",5000,5500,"Mediterranean, Greece","Mykonos, Santorini","The 20.8m/68'3"" motor yacht 'Sea Ya' by the Italian shipyard Azimut offers flexible accommodation for up to 8 guests in 4 cabins."
2967,SEABISCUIT,Sailing Yachts,6.0,3.0,6.0,41.83,2013,Custom,10571,12214,"Mediterranean, Greece",Mykonos,10571,10571,"Mediterranean, Greece",Mykonos,"The 41.83m/137'3"" 'Seabiscuit' sail yacht built by the Dutch shipyard Holland Jachtbouw is available for charter for up to 6 guests in 3 cabins. This  yacht  features interior styling by Hoek Design."
2968,SEABREEZE II,Motor Yachts,7.0,4.0,3.0,27.1,2022,Mulder 88 Flybridge,3786,6286,"Mediterranean, Croatia, Montenegro",,4143,4143,"Mediterranean, Croatia, Montenegro",,"The 27.1m/88'11"" 'Seabreeze II' motor yacht built by the Dutch shipyard Mulder  is available for charter for up to 7 guests in 4 cabins."
2969,SEACLUSION,Catamarans,8.0,4.0,4.0,23.99,2020,Sunreef 80 Sailing,0,0,"Caribbean, Bahamas",Virgin Islands,0,0,Caribbean,Virgin Islands,"The 24.4m/80'1"" catamaran yacht 'Seaclusion' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Polish designer Sunreef Yachts."
2970,SEADUCTION,Motor Yachts,8.0,4.0,2.0,24.92,2016,80 GLX,0,0,,,0,0,,,"The 24.92m/81'9"" motor yacht 'Seaduction' by the Spanish shipyard Astondoa offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Cristiano Gatto Design."
2971,SEADUCTIVE ORCA,Catamarans,8.0,4.0,3.0,20.5,2024,Sixty 5,4071,8214,"Mediterranean, Croatia",,4071,8214,,,"The 20.5m/67'3"" catamaran yacht 'Seaductive Orca' is an excellent new superyacht for the luxury charter market. Delivered by the French shipyard Lagoon  and featuring interior styling by French designer Lagoon she can comfortably accommodate up to 8 guests in 4 cabins."
2972,SEAFARI,Motor Yachts,6.0,3.0,3.0,28.35,2016,CPMY,0,0,,,0,0,,,"The 28.3m/92'10"" 'Seafari' motor yacht built by the American shipyard Burger Boat is available for charter for up to 6 guests in 3 cabins."
2973,SEAGLASS,Motor Yachts,8.0,4.0,3.0,22.5,2021,PC74,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 22.5m/73'10"" motor yacht 'SeaGlass' by the Taiwanese shipyard Horizon offers flexible accommodation for up to 8 guests in 4 cabins."
2974,SEAGULL II,Classic Yachts,12.0,7.0,9.0,54.16,2005,Custom,13857,15500,"Mediterranean, Croatia, Montenegro",,13857,15500,,,"The 54.16m/177'8"" classic yacht 'Seagull II' by Uljanik Shipyard offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Waterline Yacht Design."
2975,SEAGULL MRD,Motor Yachts,12.0,6.0,9.0,49.91,2020,Custom,42929,46857,"Mediterranean, Croatia, France, Greece, Italy, Montenegro","Mykonos, Santorini",42929,46857,"Mediterranean, Croatia, France, Greece, Italy, Montenegro","Mykonos, Santorini","The 49.9m/163'9"" motor yacht 'Seagull MRD' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Italian designer Benetti."
2976,SEAHAWK,Sailing Yachts,12.0,5.0,11.0,58.6,2018,60M Series,41714,41714,"Caribbean, Antigua, Saint Martin, St Barts","New England, Virgin Islands",41714,41714,"Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,The multi-award winning 58.52m/192' sail yacht 'Seahawk' by the Italian shipyard Perini Navi offers flexible accommodation for up to 12 guests in 5 cabins and features interior styling by Christian Liaigre.
2977,SEAHORSE,Motor Yachts,12.0,6.0,13.0,53.0,2019,Custom,31571,41571,"Mediterranean, Greece, Turkey",Mykonos,31571,41571,"Mediterranean, Greece, Turkey",Mykonos,"The 52m/170'7"" 'Seahorse' motor yacht built by the Dutch shipyard Amels is available for charter for up to 12 guests in 6 cabins. This award winning  yacht  features interior styling by English designer Terence Disdale."
2978,SEAKID II,Motor Yachts,12.0,6.0,15.0,56.01,2024,Custom,48857,57000,"Mediterranean, Greece, Italy, Malta, Turkey","Mykonos, Santorini",48857,57000,,,"The 56m/183'9"" 'Seakid II' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 6 cabins. This multi-award winning  yacht  features interior styling by Central Yacht."
2979,SEALEN B,Sailing Yachts,8.0,4.0,4.0,34.19,2023,Custom,8929,10571,"Mediterranean, Croatia, France, Greece, Italy, Monaco, Montenegro, Turkey","Amalfi Coast, Corsica, French Riviera, Mykonos, Sardinia",0,0,,,"The award winning 34.17m/112'1"" sail yacht 'Sealen B' by the Dutch shipyard Royal Huisman offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Winch Design."
2980,SEALION,Motor Yachts,12.0,6.0,18.0,62.0,2023,Custom,74929,78143,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts, Mediterranean, Croatia, France, Italy, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia, Virgin Islands",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,"A luxury yacht charter on board 203'5 /  62m Custom motor yacht 'Sealion' is a totally unique vacation experience thanks to a huge variety of amenities and a well-appointed, functional layout. The superyacht was launched in 2009 by Viareggio SuperYachts and her interior styling comes from Candy & Candy. Her exteriors are by the esteemed Espen Oeino."
2981,SEAMMETRY,Motor Yachts,10.0,5.0,5.0,30.0,2023,Dreamline 30,11429,13857,"Mediterranean, Greece","Mykonos, Santorini",11429,11429,"Mediterranean, Greece","Mykonos, Santorini","The 30m/98'5"" motor yacht 'Seammetry' by the Italian shipyard Dreamline Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Team For Design."
2982,SEANNA,Motor Yachts,12.0,7.0,17.0,65.0,2021,Custom,73000,77714,"Mediterranean, France, Italy, Malta, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",0,0,"Bermuda, Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,"The 64.5m/211'7"" 'Seanna' motor yacht built by the Italian shipyard Benetti is available for charter for up to 12 guests in 7 cabins. This  yacht  features interior styling by British designer RWD."
2983,SEAQUEST,Motor Yachts,10.0,5.0,5.0,37.8,2021,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas, Central America, Belize",,The 37.8m/124' 'SeaQuest' motor yacht built by shipyard Christensen is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Robin Rose & Associates.
2984,SEAREX,Motor Yachts,16.0,8.0,14.0,39.0,2018,Custom,0,0,"Indian Ocean, Maldives",,0,0,"Indian Ocean, Maldives",,"The 38m/124'8"" 'Searex' motor yacht built by shipyard Offshore Yard is available for charter for up to 16 guests in 8 cabins. This  yacht  features interior styling by Offshore Yard."
2985,SEAS THE DAY,Motor Yachts,8.0,4.0,5.0,30.78,2015,Custom,0,0,"Caribbean, Bahamas","Florida, New England",0,0,"Caribbean, Bahamas","Florida, Virgin Islands",The 30.78m/101' motor yacht 'Seas the Day' by the American shipyard Hargrave offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Yacht Interiors by Shelley.
2986,SEAS TO SEE,Motor Yachts,6.0,3.0,3.0,28.04,2024,Paragon 92,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 28m/91'10"" motor yacht 'Seas To See' by the American shipyard Paragon Motor Yachts offers flexible accommodation for up to 6 guests in 3 cabins."
2987,SEASHELL,Motor Yachts,10.0,5.0,6.0,34.0,2022,Custom,23071,23071,"Mediterranean, France, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Ligurian Riviera, Sardinia",23071,23071,,,"The 34.6m/113'6"" motor yacht 'Seashell' by shipyard Fittipaldi Yachts offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by American designer Luiz de Basto Designs."
2988,SEATALY,Motor Yachts,10.0,5.0,5.0,29.59,2016,Amer Cento Quad,12214,13857,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",12214,13857,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia","The 29.6m/97'1"" 'Seataly' motor yacht built by the Italian shipyard Amer is available for charter for up to 10 guests in 5 cabins."
2989,SEAWATER,Motor Yachts,8.0,4.0,3.0,24.72,2015,80 Sport Yacht,7214,8000,,"Ibiza, The Balearics",7214,7214,,"Ibiza, The Balearics","The 24.72m/81'1"" motor yacht 'Seawater' by the British shipyard Sunseeker offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by British designer Sunseeker."
2990,SEAWOLF,Motor Yachts,9.0,4.0,6.0,34.0,2022,Custom,7500,11643,"South East Asia, Myanmar (Burma), Thailand",,7500,11643,"South East Asia, Myanmar (Burma), Thailand",,"The 34m/111'7"" motor yacht 'Seawolf' by the Dutch shipyard Moonen offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Newcruise-Yacht Projects + Design."
2991,SEAWOLF,Expedition Yachts,12.0,6.0,13.0,57.91,2024,Conversion,30000,30000,,,30000,30000,,,The 58.83m/193' classic yacht 'Seawolf' by shipyard J. & K. Smits Scheepswerven offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Renato Parla Piano.
2992,SEAWOLF X,Catamarans,12.0,5.0,7.0,42.82,2024,Custom,63857,70571,"Mediterranean, Monaco","Calvi, Cannes, Corsica, French Riviera, Sardinia, St Tropez",0,0,"Bermuda, Caribbean, Antigua, Bahamas, Cuba, Saint Martin, St Barts",Virgin Islands,"The 42.75m/140'3"" catamaran yacht 'Seawolf X' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Rossinavi  and featuring interior styling by Meyer Davis this multi-award winning  yacht  can comfortably accommodate up to 12 guests in 5 cabins."
2993,SEAYACHT,Motor Yachts,8.0,4.0,4.0,28.0,2018,Custom,3286,4857,"Northern Europe, Norway",,3286,4857,"Northern Europe, Norway",,"The 28m/91'10"" 'SeaYacht' motor yacht built by Torlak Shipyard is available for charter for up to 8 guests in 4 cabins."
2994,SEAZEN II,Catamarans,9.0,4.0,3.0,21.4,2023,Sunreef 70,4857,6214,"Mediterranean, Italy","Calvi, Corsica",4857,4857,,Dubai,The 21.34m/70' catamaran yacht 'Seazen II' by the Polish shipyard Sunreef Yachts offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Polish designer Sunreef Yachts.
2995,SECOND LOVE,Motor Yachts,8.0,4.0,5.0,34.14,2014,Westport 112,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 34.1m/111'11"" motor yacht 'Second Love' by the American shipyard Westport Yachts offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Robin Rose & Associates."
2996,SECOND LOVE,Motor Yachts,12.0,6.0,10.0,50.01,2024,W164,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,The award winning 49.98m/164' motor yacht 'Second Love' by the American shipyard Westport Yachts offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Donald Starkey.
