,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
1027,EFE BURAK,Gulet Yachts,12.0,6.0,4.0,32.0,2019,Custom,2500,3857,"Mediterranean, Croatia, Montenegro",,0,0,,,The 32m/105' 'Efe Burak' gulet yacht built by shipyard Custom is available for charter for up to 12 guests in 6 cabins. This  yacht  features interior styling by Baba Veli Yachting.
1028,EFFE,Motor Yachts,10.0,4.0,4.0,27.7,2019,Canados 86,6857,7357,"Mediterranean, Italy","Amalfi Coast, Corsica",6857,7357,"Mediterranean, Italy","Amalfi Coast, Corsica","The 26.48m/86'11"" motor yacht 'Effe' by the Italian shipyard Canados offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Italian designer Achille Salvagni."
1029,EFMARIA,Motor Yachts,11.0,5.0,5.0,26.11,2022,Falcon 86,6429,6929,"Mediterranean, Greece",Mykonos,6429,6429,"Mediterranean, Greece",Mykonos,"The 26.1m/85'8"" motor yacht 'Efmaria' by the Italian shipyard Falcon Yachts offers flexible accommodation for up to 11 guests in 5 cabins and features interior styling by Italian designer Falcon Yachts."
1030,EGO,Motor Yachts,12.0,7.0,10.0,49.5,2019,Custom,24286,25929,,,24286,25929,,,"The 49.5m/162'5"" motor yacht 'Ego' by the Italian shipyard Benetti offers flexible accommodation for up to 12 guests in 7 cabins and features interior styling by Newcruise."
1031,EH2,Motor Yachts,10.0,5.0,6.0,36.8,2024,Motopanfilo 37M,26000,27714,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",26000,27714,,,"The 36.8m/120'9"" 'EH2' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Lazzarini Pickering."
1032,EL ALEPH,Sailing Yachts,12.0,6.0,12.0,40.0,2009,Custom,0,0,"South East Asia, Philippines",,0,0,"South East Asia, Philippines",,The 32m/105' 'El Aleph' sail yacht built by shipyard Konjo Boat builders is available for charter for up to 12 guests in 6 cabins.
1033,EL BRAVO,Classic Yachts,9.0,4.0,5.0,32.9,1973,Custom,9143,0,,,9143,0,,,"The 32.9m/107'11"" classic yacht 'El Bravo' by shipyard Cantiere Valdettaro offers flexible accommodation for up to 9 guests in 4 cabins."
1034,EL DISPARO,Open Yachts,9.0,4.0,4.0,28.0,2016,AB 92,5286,6429,"Mediterranean, Croatia, Greece, Montenegro, Turkey",Mykonos,5286,6429,"Mediterranean, Croatia, Greece, Montenegro, Turkey",Mykonos,"The 28.5m/93'6"" 'El Disparo' open yacht built by the Italian shipyard AB Yachts is available for charter for up to 9 guests in 4 cabins. This  yacht  features interior styling by Dutch designer Guido de Groot Design."
1035,EL GABO,Motor Yachts,8.0,4.0,4.0,28.83,2008,Azimut 85,0,0,,,0,0,,,The 26.83m/88' 'El Gabo' motor yacht built by the Italian shipyard Azimut is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Italian designer Carlo Galeazzi.
1036,EL JEFE,Motor Yachts,10.0,4.0,5.0,35.08,2007,Custom,0,0,,,0,0,"Caribbean, Antigua, Saint Martin, St Barts",Virgin Islands,The 35.05m/115' 'El Jefe' motor yacht built by Derecktor Shipyards is available for charter for up to 10 guests in 4 cabins. This  yacht  features interior styling by Puleo Inc..
